                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4822,                0.72064,                0.94142,                0.66942,                0.60163,                0.60053,                0.33881,                 1.4172,                0.72938,                0.95654,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.3858,                0.68084,                0.94147,                0.62328,                0.60753,                 0.5824,                0.31777,                 1.4404,                0.72534,                0.96156,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.4087,                 0.7035,                0.94803,                0.64599,                0.60329,                0.58506,                0.32693,                  1.445,                0.76294,                0.96388,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.4226,                0.69481,                0.94556,                0.65206,                0.59513,                0.59055,                0.32702,                 1.4485,                0.72368,                0.96642,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.3984,                0.68015,                0.94577,                0.66835,                0.61324,                0.60309,                0.33642,                 1.4238,                0.71179,                0.96347,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.4075,                0.69847,                0.94167,                0.66129,                0.60263,                0.60216,                0.32649,                  1.445,                0.72669,                0.96367,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.3779,                0.68141,                0.94061,                0.63541,                0.60062,                0.58171,                0.32318,                 1.4203,                0.72576,                0.95423,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.3993,                0.68262,                0.93998,                0.68364,                0.59457,                0.61123,                0.34188,                 1.3921,                0.71984,                0.95071,               0.001139,               0.001139,               0.001139
                     44,                 1.3966,                0.67945,                0.93756,                0.65407,                0.61231,                0.59578,                0.33089,                 1.4129,                0.73021,                 0.9542,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.4018,                0.68654,                0.93195,                0.67514,                0.60692,                0.60775,                0.33839,                 1.4143,                0.71556,                0.96046,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.3556,                0.66121,                0.93345,                0.68846,                0.59738,                0.60266,                0.33927,                 1.3976,                0.72278,                0.95343,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.3819,                0.66747,                 0.9351,                0.65492,                0.62002,                 0.6174,                0.33683,                  1.396,                0.71862,                0.95615,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.3921,                0.67879,                0.93115,                0.66879,                0.59873,                0.60183,                0.33507,                 1.3984,                0.71834,                0.95345,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.3777,                0.67012,                0.93214,                0.68667,                0.59119,                0.60296,                0.33838,                 1.4082,                0.69925,                0.95056,              0.0010965,              0.0010965,              0.0010965
                     50,                  1.388,                0.66745,                 0.9366,                0.64761,                0.59234,                0.59062,                 0.3253,                 1.4189,                0.71353,                0.95252,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.3823,                0.66652,                0.93562,                 0.6635,                0.62182,                0.60769,                0.33785,                  1.388,                0.71835,                0.95413,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.3656,                0.66324,                0.93866,                0.67188,                0.61109,                0.61172,                0.34115,                 1.4001,                0.69503,                0.95374,              0.0010753,              0.0010753,              0.0010753
                     53,                  1.392,                0.67418,                0.93203,                0.65186,                0.63175,                0.61822,                0.34693,                 1.3857,                 0.7135,                0.95162,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.3627,                0.66519,                0.92844,                0.69658,                0.60508,                0.61844,                 0.3425,                 1.3945,                0.69011,                0.95571,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.3517,                0.64796,                0.92713,                 0.6455,                0.62471,                0.61438,                0.33739,                 1.3999,                0.70489,                0.95579,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.3485,                0.63981,                0.93206,                 0.6899,                0.60641,                0.62057,                0.34664,                 1.3789,                0.69491,                0.94614,               0.001047,               0.001047,               0.001047
                     57,                 1.3441,                0.65075,                0.92801,                0.68375,                0.62274,                0.61861,                0.34297,                 1.3898,                0.71409,                0.95207,                0.00104,                0.00104,                0.00104
                     58,                 1.3585,                0.66202,                0.92883,                0.68503,                0.59083,                0.61269,                0.33922,                 1.4002,                 0.6866,                0.95239,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.3213,                0.62935,                0.92184,                 0.6641,                0.61993,                0.62025,                0.34596,                 1.3798,                0.69101,                0.95214,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.3832,                0.66181,                0.93213,                0.66872,                0.62745,                0.61803,                0.34797,                 1.3736,                0.66604,                 0.9527,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.3885,                0.66589,                0.93266,                0.63541,                0.63261,                0.60419,                0.33385,                 1.4072,                0.69518,                0.95092,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.3617,                 0.6427,                0.92318,                0.68572,                0.61907,                0.61938,                0.34994,                 1.3757,                0.67909,                0.94775,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.3264,                0.63168,                0.92217,                0.65328,                0.62534,                0.61332,                0.34713,                 1.3615,                0.67749,                0.94735,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.3185,                0.63933,                0.92436,                0.62561,                0.64442,                0.61396,                0.34349,                 1.3884,                0.68731,                0.95124,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.3455,                0.64743,                0.92779,                0.72192,                0.60903,                0.63256,                0.34937,                  1.385,                0.68193,                0.94893,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.3456,                0.63288,                0.93145,                0.68576,                0.60514,                 0.6189,                0.34574,                 1.3927,                0.70203,                0.94968,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.3672,                0.65276,                0.92067,                0.69721,                0.62849,                0.63252,                0.35634,                 1.3546,                0.66913,                0.94759,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.3326,                0.64456,                0.92157,                0.66686,                0.62038,                0.61208,                0.33985,                 1.3965,                0.68379,                0.95129,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.3201,                0.61632,                0.92489,                0.69763,                0.61234,                 0.6332,                0.35629,                 1.3526,                0.66823,                  0.941,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.3271,                0.62809,                0.92072,                0.70353,                0.62325,                0.63312,                0.35985,                  1.346,                0.67193,                0.94048,               0.000948,               0.000948,               0.000948
                     71,                 1.3383,                0.64037,                0.91573,                0.71452,                0.60938,                0.63295,                0.35094,                 1.3708,                0.67334,                0.94854,             0.00094093,             0.00094093,             0.00094093
